"state","county.x","pop_summed","area_summed","cattled_farms_summed","cattle_count_summed","broiler_farms_summed","broiler_count_summed","layer_farms_summed","layer_count_summed","hog_farms_summed","hog_count_summed","sheep_farms_summed","sheep_count_summed","Population..2020.census.","Area..mi.2.","cattle.farms.x","cattle.count.x","hog.farm.x","hog.count.x","sheep.farm.x","sheep.count.x","broiler.farm.x","broiler.count.x","layer.farm.x","layer.count.x","X","county.y","cattle.farms.y","cattle.count.y","hog.farm.y","hog.count.y","layer.farm.y","layer.count.y","broiler.farm.y","broiler.count.y","sheep.farm.y","sheep.count.y","surrounding_population_density","population_density","animal_density","surrounding_animal_density"
"alabama","mobile",843096,5817.43,1480,80490,52,15959669,558,222137,125,938,132,2705,414809,1229.44,283,17207,17,118,2,-47,6,48,115,4183,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,144.925852137456,337.396700937012,13.9958029672046,13.8360066214806
"arizona","apache",486515,60065.8,6132,190893,18,595,1944,23489,529,1642,8241,160718,66021,11218,1738,37055,238,580,3579,69090,3,150,523,4738,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,8.09970066160777,5.88527366732038,3.30317347120699,3.17806472235448
"arizona","gila",5425664,60783,3316,613114,25,682,1234,15497,228,1629,3396,68433,53272,4796,97,15170,6,32,2,-47,3,129,38,1559,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,89.2628531003735,11.1075896580484,3.16305254378649,10.0869322014379
"arizona","graham",1868250,53244,4025,544039,22,279,1354,21880,407,2035,5767,111483,38533,4641,226,15201,15,339,5,93,0,0,34,489,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,35.088460671625,8.30273647920707,3.27537168713639,10.2178461422883
"arizona","cochise",1268823,26581,944,227534,13,0,370,10444,77,1230,64,2466,125447,6219,343,162200,38,843,28,1167,10,-47,182,6049,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,47.7342086452729,20.1715709921209,26.0813635632738,8.56002407734848
"arizona","coconino",776751,67056,3113,159332,12,129,995,15758,199,624,3753,74402,145101,18661,1017,41999,56,173,1184,24939,0,0,286,2823,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,11.583616678597,7.77562831573871,2.25062965543111,2.37610355523741
"arizona","maricopa",6399184,46743,1000,553665,29,682,683,12102,108,1309,155,4424,4420568,9224,293,211891,40,733,44,2958,11,553,274,-47,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,136.901439787776,479.246313963573,22.9717042497832,11.8448751684744
"arizona","mohave",5250694,89919,2040,232461,28,3396,759,872019,152,1133,1317,27384,213267,13470,148,19503,9,134,6,160,1,-47,37,1597,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,58.3935986832594,15.8327394209354,1.44788418708241,2.58522670403363
"arizona","greenlee",275506,38266,2886,299292,14,150,858,13340,308,1908,3635,71058,9563,1848,56,2675,6,48,6,546,0,0,16,186,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,7.19975957769299,5.17478354978355,1.44751082251082,7.82135577274865
"arizona","lapaz",9870023,72299,1075,803811,45,3288,891,1851799,195,2591,248,14748,16557,4513,19,0,0,0,3,30,0,0,3,-47,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,136.516729138716,3.66873476623089,0,11.1178716164816
"arizona","pinal",5981070,33224,940,533637,20,682,544,7065,95,1297,116,3711,425264,5374,197,273261,18,193,43,-47,4,-47,107,2496,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,180.022574042861,79.133606252326,50.8487160401935,16.0617926799904
"arizona","santacruz",1216549,16646,565,190723,12,0,296,9425,55,843,52,1827,47669,1238,95,10409,1,-47,2,-47,0,0,23,855,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,73.0835636188874,38.5048465266559,8.40791599353796,11.4575874083864
"arizona","yavapai",5084974,58792,1819,323792,22,682,770,10267,134,1231,1275,28603,236209,8128,245,35229,23,159,36,516,7,-47,132,4288,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,86.4909171315825,29.0611466535433,4.33427657480315,5.50741597496258
"arizona","yuma",5864141,32620,506,642217,15,553,412,3846,66,1153,78,3908,203881,5519,22,0,5,192,5,260,2,-47,38,1238,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,179.771336603311,36.941656097119,0,19.6878295524218
"arizona","pima",6304795,41404,1303,691076,29,553,749,13648,133,2300,149,5138,1043433,9189,127,18114,16,-47,22,660,2,-47,91,2521,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,152.27502173703,113.552399608227,1.97126999673523,16.6910443435417
"arizona","navajo",424162,57208,4577,147858,7,279,1360,14665,415,1238,7276,142480,106717,9959,1241,20363,70,-47,2082,39927,0,0,363,3842,69,"Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195,7.41438260383163,10.7156340998092,2.04468320112461,2.58456859180534
"arkansas","ashley",142955,5885.26,787,61335,70,43308066,251,962842,46,218,57,1277,19062,939.08,98,2779,4,11,10,133,0,0,60,245346,85,"Arkansas",20924,1588074,1053,145376,4525,14421929,1924,1045855386,1140,32485,24.2903457111495,20.2985901094688,2.95927929462879,10.421799546664
