County,2020,2021,2022,Rank in state,Percent change,Percent change,Rank in state,State
Dolores,"39,242","40,752","38,962",60,3.8,-4.4,50,Colorado
Douglas,"83,745","90,447","99,168",6,8,9.6,4,Colorado
Eagle,"88,073","103,440","113,643",4,17.4,9.9,3,Colorado
Elbert,"65,795","71,818","76,264",14,9.2,6.2,14,Colorado
El Paso,"54,504","59,716","61,076",27,9.6,2.3,33,Colorado
Fremont,"38,348","41,902","42,499",57,9.3,1.4,36,Colorado
Garfield,"57,713","61,395","65,657",21,6.4,6.9,12,Colorado
Gilpin,"55,446","62,515","66,285",19,12.7,6,15,Colorado
Grand,"55,998","64,001","68,066",16,14.3,6.4,13,Colorado
Gunnison,"56,132","62,551","65,797",20,11.4,5.2,21,Colorado
Hinsdale,"54,192","56,331","61,084",26,3.9,8.4,8,Colorado
Huerfano,"44,491","49,647","49,407",43,11.6,-0.5,42,Colorado
Jackson,"56,988","60,513","63,428",24,6.2,4.8,23,Colorado
Jefferson,"68,983","75,899","79,751",11,10,5.1,22,Colorado
Kiowa,"52,433","68,255","51,779",37,30.2,-24.1,64,Colorado
Kit Carson,"41,368","52,606","43,807",53,27.2,-16.7,62,Colorado
Lake,"43,964","48,546","51,963",36,10.4,7,11,Colorado
La Plata,"61,017","66,115","68,794",15,8.4,4.1,25,Colorado
Larimer,"59,762","65,501","67,849",18,9.6,3.6,27,Colorado
Las Animas,"42,034","44,585","44,498",51,6.1,-0.2,40,Colorado
Lincoln,"32,999","37,901","34,678",62,14.9,-8.5,55,Colorado
Logan,"43,592","49,575","49,736",42,13.7,0.3,39,Colorado
Mesa,"48,548","53,194","54,654",32,9.6,2.7,31,Colorado
Mineral,"64,799","63,336","67,889",17,-2.3,7.2,9,Colorado
Moffat,"43,079","46,306","47,523",46,7.5,2.6,32,Colorado
Montezuma,"46,985","51,642","50,508",41,9.9,-2.2,47,Colorado
Montrose,"45,861","50,585","50,848",38,10.3,0.5,38,Colorado
Morgan,"47,071","52,067","50,640",40,10.6,-2.7,48,Colorado
Otero,"39,482","42,181","41,533",58,6.8,-1.5,44,Colorado
Ouray,"75,140","83,281","88,190",9,10.8,5.9,17,Colorado
Park,"54,055","58,026","61,230",25,7.3,5.5,18,Colorado
Phillips,"43,704","51,266","48,096",44,17.3,-6.2,53,Colorado
Pitkin,"172,065","195,299","217,482",1,13.5,11.4,1,Colorado
Prowers,"41,074","45,566","45,223",49,10.9,-0.8,43,Colorado
Pueblo,"43,256","46,883","47,208",47,8.4,0.7,37,Colorado
Rio Blanco,"49,649","55,788","56,583",29,12.4,1.4,35,Colorado
Rio Grande,"51,083","55,695","54,513",33,9,-2.1,46,Colorado
Routt,"91,880","109,021","119,278",3,18.7,9.4,6,Colorado
Saguache,"40,000","43,155","37,247",61,7.9,-13.7,60,Colorado
San Juan,"54,134","56,911","53,172",34,5.1,-6.6,54,Colorado
San Miguel,"100,751","125,547","138,635",2,24.6,10.4,2,Colorado
Sedgwick,"40,966","51,613","44,053",52,26,-14.6,61,Colorado
Summit,"77,833","86,289","94,423",8,10.9,9.4,5,Colorado
Teller,"56,814","62,821","65,399",22,10.6,4.1,24,Colorado
Washington,"40,456","47,498","43,100",55,17.4,-9.3,57,Colorado
Weld,"51,920","56,592","58,860",28,9,4,26,Colorado
Yuma,"40,759","49,825","44,948",50,22.2,-9.8,58,Colorado
Fairfield,"115,859","119,982","125,185",1,3.6,4.3,2,Connecticut
Hartford,"66,436","69,487","70,339",4,4.6,1.2,6,Connecticut
Litchfield,"70,947","76,129","79,947",2,7.3,5,1,Connecticut
Middlesex,"70,759","73,081","74,591",3,3.3,2.1,3,Connecticut
New Haven,"60,506","63,599","64,829",6,5.1,1.9,5,Connecticut
New London,"61,119","64,182","64,847",5,5,1,7,Connecticut
Tolland,"59,931","60,304","61,498",7,0.6,2,4,Connecticut
Windham,"50,431","53,289","53,504",8,5.7,0.4,8,Connecticut
Kent,"46,052","49,316","51,188",3,7.1,3.8,3,Delaware
New Castle,"58,624","60,706","66,397",1,3.6,9.4,1,Delaware
Sussex,"56,403","61,815","64,957",2,9.6,5.1,2,Delaware
Alachua,"47,655","52,040","52,594",30,9.2,1.1,37,Florida
Baker,"39,068","42,067","44,763",40,7.7,6.4,3,Florida
Bay,"50,069","54,638","54,268",24,9.1,-0.7,51,Florida
Bradford,"37,466","40,143","41,551",50,7.1,3.5,12,Florida
Brevard,"51,212","55,934","56,817",21,9.2,1.6,30,Florida
Broward,"56,080","63,819","66,009",13,13.8,3.4,13,Florida
Calhoun,"33,095","36,370","36,291",59,9.9,-0.2,48,Florida
Charlotte,"48,422","52,777","53,227",28,9,0.9,40,Florida
Citrus,"41,602","45,406","45,330",39,9.1,-0.2,47,Florida
Clay,"47,815","52,822","53,695",26,10.5,1.7,29,Florida
Collier,"110,993","126,031","131,160",1,13.5,4.1,9,Florida
Columbia,"39,953","43,991","43,192",46,10.1,-1.8,60,Florida
DeSoto,"30,593","33,240","32,893",64,8.7,-1,54,Florida
Dixie,"33,019","35,540","35,138",60,7.6,-1.1,56,Florida
Duval,"49,908","55,344","56,168",22,10.9,1.5,31,Florida
Escambia,"47,483","51,995","52,257",33,9.5,0.5,43,Florida
Flagler,"54,916","58,572","60,291",15,6.7,2.9,18,Florida
Franklin,"38,831","44,765","45,581",38,15.3,1.8,27,Florida
Gadsden,"40,828","44,538","44,211",43,9.1,-0.7,52,Florida
Gilchrist,"39,778","42,235","42,176",47,6.2,-0.1,46,Florida
Glades,"30,798","32,170","31,410",66,4.5,-2.4,63,Florida
Gulf,"45,649","50,226","48,554",35,10,-3.3,66,Florida
Hamilton,"31,555","34,651","34,058",62,9.8,-1.7,59,Florida
Hardee,"32,291","35,471","34,968",61,9.8,-1.4,57,Florida
Hendry,"37,468","40,430","39,249",55,7.9,-2.9,65,Florida
Hernando,"42,700","46,140","46,591",37,8.1,1,39,Florida
Highlands,"38,713","41,693","41,845",48,7.7,0.4,44,Florida
Hillsborough,"53,144","57,905","59,515",19,9,2.8,19,Florida
Holmes,"34,977","38,501","38,620",56,10.1,0.3,45,Florida
Indian River,"87,110","99,515","105,250",5,14.2,5.8,5,Florida
Jackson,"37,783","40,603","39,669",53,7.5,-2.3,62,Florida
Jefferson,"46,583","49,818","49,315",34,6.9,-1,53,Florida
Lafayette,"29,153","32,174","33,903",63,10.4,5.4,7,Florida
Lake,"45,699","51,068","52,291",32,11.7,2.4,23,Florida
Lee,"58,139","62,783","63,568",14,8,1.3,34,Florida
Leon,"49,155","53,844","54,244",25,9.5,0.7,42,Florida
Levy,"41,033","44,156","43,873",44,7.6,-0.6,50,Florida
Liberty,"31,331","34,917","32,522",65,11.4,-6.9,67,Florida
Madison,"37,897","39,977","40,728",51,5.5,1.9,26,Florida
Manatee,"53,842","58,861","59,691",17,9.3,1.4,33,Florida
Marion,"40,896","45,009","44,521",41,10.1,-1.1,55,Florida
Martin,"97,665","103,621","110,336",3,6.1,6.5,2,Florida
Miami-Dade,"56,235","65,948","68,481",12,17.3,3.8,10,Florida
Monroe,"94,837","109,873","119,138",2,15.9,8.4,1,Florida
Nassau,"66,135","73,137","76,442",9,10.6,4.5,8,Florida
Okaloosa,"53,709","59,322","59,966",16,10.5,1.1,36,Florida
Okeechobee,"35,817","39,219","40,502",52,9.5,3.3,15,Florida
Orange,"48,829","54,726","55,374",23,12.1,1.2,35,Florida
Osceola,"39,272","44,013","44,344",42,12.1,0.8,41,Florida
Palm Beach,"92,202","103,295","109,055",4,12,5.6,6,Florida
Pasco,"46,646","51,365","52,601",29,10.1,2.4,22,Florida
Pinellas,"60,721","66,415","68,642",11,9.4,3.4,14,Florida
Polk,"40,807","43,915","43,223",45,7.6,-1.6,58,Florida
Putnam,"37,372","39,668","39,440",54,6.1,-0.6,49,Florida
St. Johns,"76,091","83,355","88,388",6,9.5,6,4,Florida
St. Lucie,"45,416","50,856","52,363",31,12,3,17,Florida
Santa Rosa,"50,522","55,715","57,440",20,10.3,3.1,16,Florida
Sarasota,"74,102","81,954","84,035",8,10.6,2.5,20,Florida
Seminole,"52,928","58,147","59,581",18,9.9,2.5,21,Florida
Sumter,"59,621","68,524","69,224",10,14.9,1,38,Florida
Suwannee,"37,672","40,868","41,655",49,8.5,1.9,25,Florida
Taylor,"34,114","37,863","37,025",57,11,-2.2,61,Florida
Union,"24,472","26,152","26,536",67,6.9,1.5,32,Florida
Volusia,"47,861","52,364","53,559",27,9.4,2.3,24,Florida
Wakulla,"41,790","46,941","47,779",36,12.3,1.8,28,Florida
Walton,"73,458","84,975","88,228",7,15.7,3.8,11,Florida
Washington,"33,893","37,271","36,329",58,10,-2.5,64,Florida
Appling,"39,134","42,693","43,602",76,9.1,2.1,41,Georgia
Atkinson,"32,289","35,210","36,622",144,9,4,20,Georgia
Bacon,"37,448","39,057","39,972",116,4.3,2.3,39,Georgia
Baker,"45,061","50,236","49,696",31,11.5,-1.1,99,Georgia
Baldwin,"37,644","42,144","42,270",89,12,0.3,70,Georgia
Banks,"39,236","42,335","45,056",56,7.9,6.4,6,Georgia
Barrow,"41,874","45,781","46,980",44,9.3,2.6,36,Georgia
Bartow,"43,677","47,617","48,565",34,9,2,43,Georgia
Ben Hill,"35,045","39,215","38,598",128,11.9,-1.6,107,Georgia
Berrien,"37,707","39,785","39,871",119,5.5,0.2,71,Georgia
Bibb,"43,114","47,550","46,196",49,10.3,-2.8,135,Georgia
Bleckley,"39,434","42,520","41,038",104,7.8,-3.5,142,Georgia
Brantley,"32,305","35,115","34,896",150,8.7,-0.6,94,Georgia
Brooks,"37,748","40,041","39,500",122,6.1,-1.4,104,Georgia
Bryan,"51,941","56,017","57,520",16,7.8,2.7,35,Georgia
Bulloch,"35,955","39,375","38,397",131,9.5,-2.5,126,Georgia
Burke,"39,461","41,852","40,590",110,6.1,-3,138,Georgia
Butts,"37,629","41,252","41,635",99,9.6,0.9,56,Georgia
Calhoun,"32,097","35,219","33,901",151,9.7,-3.7,149,Georgia
Camden,"39,770","43,831","43,622",75,10.2,-0.5,91,Georgia
Candler,"36,647","40,602","40,614",109,10.8,0,78,Georgia
Carroll,"44,781","49,127","50,475",30,9.7,2.7,33,Georgia
Catoosa,"38,879","42,150","42,316",86,8.4,0.4,68,Georgia
Charlton,"29,050","30,915","31,382",157,6.4,1.5,49,Georgia
Chatham,"51,366","56,848","56,682",18,10.7,-0.3,85,Georgia
Chattahoochee,"34,644","38,530","36,305",146,11.2,-5.8,156,Georgia
Chattooga,"33,447","36,991","37,055",137,10.6,0.2,75,Georgia
Cherokee,"57,355","63,168","66,230",7,10.1,4.8,13,Georgia
Clarke,"37,715","40,910","40,970",107,8.5,0.1,76,Georgia
Clay,"39,165","39,388","36,851",139,0.6,-6.4,158,Georgia
Clayton,"31,757","34,575","32,831",154,8.9,-5,155,Georgia
Clinch,"41,018","41,910","41,712",95,2.2,-0.5,90,Georgia
Cobb,"62,551","68,273","69,932",6,9.1,2.4,38,Georgia
Coffee,"35,602","40,811","38,972",126,14.6,-4.5,153,Georgia
Colquitt,"37,726","41,085","41,164",103,8.9,0.2,73,Georgia
Columbia,"55,580","58,773","58,889",14,5.7,0.2,72,Georgia
Cook,"36,499","39,968","38,956",127,9.5,-2.5,127,Georgia
